city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
beijing,"Building 2, 4th District, Wangjing East Park - floor number (F5, F6) Chaoyang District Beijing 100000"," 5,600/mo"," 5,600/mo"," 17,000/mo"," 17,000/mo"," 29,000/mo"," 29,000/mo"," 29,000/mo"," 29,700/mo"," 36,000/mo",n/a," 3,200/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a," 2,800/mo"," 5,600/mo"," 8,400/mo"," 11,200/mo"," 14,000/mo"," 16,800/mo"," 19,600/mo"," 22,400/mo"," 25,200/mo",n/a
beijing,"2A Worker Stadium North Road, Pacific Century Place, 5/F Chaoyang Beijing 100001"," 5,600/mo"," 10,600/mo"," 15,200/mo"," 21,600/mo"," 21,600/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 3,400/mo"," 6,800/mo"," 10,200/mo"," 13,600/mo"," 17,000/mo"," 20,400/mo"," 23,800/mo"," 27,200/mo"," 30,600/mo"," 34,000/mo"
beijing,101 Chao Yang Bei Lu Chaoyang Qu Beijing 100025," 3,200/mo",Unavailable,Unavailable,Unavailable," 19,500/mo"," 19,500/mo"," 19,500/mo",Unavailable," 33,400/mo"," 33,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 1,800/mo"," 3,600/mo"," 5,400/mo"," 7,200/mo"," 9,000/mo"," 10,800/mo"," 12,600/mo"," 14,400/mo"," 16,200/mo"," 18,000/mo"
beijing,"7 Jianguomen South Street, 1/F. Dongcheng District Beijing 100025"," 4,300/mo"," 8,200/mo"," 11,600/mo"," 14,800/mo"," 17,000/mo"," 20,100/mo"," 24,400/mo"," 27,600/mo"," 28,600/mo"," 31,800/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 1,900/mo"," 3,800/mo"," 5,700/mo"," 7,600/mo"," 9,500/mo"," 11,400/mo"," 13,300/mo"," 15,200/mo"," 17,100/mo"," 19,000/mo"
beijing,"40 Xiaoyun Road, Chaoyang Beijing 100027"," 4,000/mo"," 7,600/mo",Unavailable," 16,900/mo"," 16,900/mo"," 16,900/mo",Unavailable,Unavailable,n/a," 45,700/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,Unavailable," 2,200/mo"," 4,400/mo"," 6,600/mo"," 8,800/mo"," 11,000/mo"," 13,200/mo"," 15,400/mo"," 17,600/mo",n/a,Unavailable
beijing,1 Danling Street Haidian District Beijing 100000," 55,100/mo"," 13,300/mo"," 13,300/mo"," 14,800/mo"," 18,000/mo"," 20,100/mo"," 28,600/mo",n/a,n/a,n/a," 3,500/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a," 3,000/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a
beijing,"9 Wangjing Jie, Chaoyang District Beijing 100096"," 3,800/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 28,600/mo"," 28,600/mo"," 41,300/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 1,900/mo"," 6,000/mo"," 9,000/mo"," 12,000/mo"," 15,000/mo"," 18,000/mo"," 21,000/mo",Unavailable,Unavailable,Unavailable
beijing,"92A Jianguo Lu, Shi Mao Tower, 4/F Chaoyang Beijing 100022"," 3,800/mo"," 7,300/mo",Unavailable," 16,200/mo"," 16,200/mo",n/a," 26,000/mo"," 26,000/mo"," 32,500/mo"," 32,500/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,Unavailable,Unavailable,Unavailable,Unavailable," 1,900/mo"," 3,800/mo"," 5,700/mo"," 7,600/mo"," 9,500/mo",n/a," 13,300/mo"," 15,200/mo"," 17,100/mo"," 19,000/mo"
beijing,"Jiangtai Rd., Courtyard 2A, Building 2, Chaoyang Beijing 100096"," 7,900/mo"," 14,200/mo"," 14,200/mo"," 14,200/mo"," 14,300/mo"," 16,200/mo"," 30,000/mo"," 30,000/mo"," 30,000/mo"," 33,300/mo"," 2,500/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 2,000/mo"," 3,800/mo",Unavailable,Unavailable,Unavailable," 11,400/mo",Unavailable,Unavailable,Unavailable,Unavailable
beijing,"14 Jiuxianqiao Rd, C&W Industrial Park B4 Chaoyang Beijing 100096"," 6,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 2,300/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 2,000/mo"," 4,000/mo"," 6,000/mo"," 8,000/mo"," 10,000/mo"," 12,000/mo"," 14,000/mo"," 16,000/mo"," 18,000/mo"," 20,000/mo"
beijing,"3F, Building 1, Zone A, Parkview Place, 2 East 4th Ring Rd Chaoyang Beijing 100016"," 4,900/mo"," 11,700/mo"," 11,700/mo"," 11,700/mo"," 18,300/mo"," 20,900/mo"," 22,900/mo"," 34,300/mo"," 34,300/mo"," 34,300/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable," 2,100/mo"," 4,000/mo"," 6,000/mo"," 8,000/mo"," 10,000/mo"," 12,000/mo"," 14,000/mo"," 16,000/mo"," 18,000/mo"," 20,000/mo"
