city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
shanghai--31,"1262 West Yan'an Road, Changning District Shanghai 200052","¥6,800/mo",Unavailable,Unavailable,"¥11,700/mo","¥15,900/mo","¥17,600/mo","¥21,600/mo","¥25,400/mo",Unavailable,"¥42,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥1,800/mo","¥3,600/mo","¥5,400/mo","¥8,000/mo","¥10,000/mo","¥12,000/mo","¥14,000/mo","¥16,000/mo","¥18,000/mo","¥20,000/mo"
shanghai--31,"189 Changshou Road, 6F Putuo Shanghai 200085","¥6,100/mo","¥6,100/mo","¥9,000/mo","¥19,100/mo","¥19,100/mo","¥19,100/mo","¥29,700/mo","¥29,700/mo","¥36,600/mo","¥36,600/mo","¥2,400/mo","¥4,800/mo","¥7,200/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥1,800/mo","¥3,600/mo","¥5,400/mo","¥7,200/mo","¥9,000/mo","¥10,800/mo","¥12,600/mo","¥14,400/mo","¥16,200/mo","¥18,000/mo"
shanghai--31,International Capital Plaza 1318 Sichuan N Rd Shanghai 200000,"¥3,600/mo","¥6,900/mo","¥9,900/mo","¥11,900/mo","¥17,100/mo","¥20,300/mo","¥29,500/mo","¥29,500/mo","¥29,500/mo","¥32,700/mo",Unavailable,Unavailable,Unavailable,"¥9,600/mo","¥12,000/mo","¥14,400/mo","¥16,800/mo","¥19,200/mo","¥21,600/mo","¥24,000/mo","¥1,800/mo","¥3,600/mo","¥5,400/mo","¥7,200/mo","¥9,000/mo","¥10,800/mo","¥12,600/mo","¥14,400/mo","¥16,200/mo","¥18,000/mo"
shanghai--31,"99 Xianxia Road Changning, Shanghai Shanghai 200000","¥8,200/mo",Unavailable,Unavailable,"¥10,900/mo","¥13,200/mo","¥15,300/mo","¥17,000/mo","¥19,000/mo","¥26,000/mo","¥28,500/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,500/mo","¥5,000/mo","¥7,500/mo","¥7,200/mo","¥9,000/mo","¥10,800/mo","¥12,600/mo","¥14,400/mo","¥16,200/mo","¥18,000/mo"
shanghai--31,328 Tian Tong Lu Shanghai 200080,"¥3,300/mo","¥6,300/mo","¥9,100/mo","¥23,300/mo","¥23,300/mo","¥23,300/mo","¥27,600/mo",Unavailable,"¥37,100/mo","¥37,100/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥1,700/mo","¥3,400/mo","¥5,100/mo","¥10,000/mo","¥12,500/mo","¥15,000/mo","¥17,500/mo","¥20,000/mo","¥22,500/mo","¥25,000/mo"
shanghai--31,1 South Wuning Road Jing'an District Shanghai 200042,"¥4,000/mo","¥7,800/mo","¥11,400/mo","¥11,700/mo","¥17,000/mo","¥17,000/mo","¥19,100/mo","¥21,700/mo","¥29,200/mo","¥29,200/mo","¥2,500/mo","¥5,000/mo","¥7,500/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥4,200/mo","¥6,300/mo","¥6,800/mo","¥8,500/mo","¥10,200/mo","¥11,900/mo","¥13,600/mo","¥15,300/mo","¥17,000/mo"
shanghai--31,"3/F, 1381 Dongfang Road Pudong District, Shanghai Shanghai 200000","¥7,400/mo","¥8,900/mo","¥10,700/mo","¥12,600/mo","¥18,300/mo","¥21,200/mo","¥24,600/mo","¥24,600/mo","¥24,600/mo","¥30,100/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,300/mo","¥4,600/mo","¥6,900/mo","¥8,400/mo","¥10,500/mo","¥12,600/mo","¥14,700/mo","¥16,800/mo","¥18,900/mo","¥21,000/mo"
shanghai--31,66 Tian Jin Lu Shanghai 200002,"¥4,200/mo","¥8,000/mo","¥13,700/mo","¥12,700/mo","¥18,000/mo","¥18,000/mo","¥20,100/mo","¥26,500/mo","¥27,600/mo","¥30,500/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥2,100/mo","¥3,200/mo","¥4,800/mo","¥9,200/mo","¥11,500/mo","¥13,800/mo","¥16,100/mo","¥18,400/mo","¥20,700/mo","¥23,000/mo"
shanghai--31,"818 Shenchang Road, Building 1, 7/F Minhang Shanghai","¥3,000/mo",Unavailable,Unavailable,"¥21,400/mo","¥21,400/mo","¥21,400/mo","¥26,500/mo","¥26,500/mo","¥29,800/mo","¥30,800/mo","¥2,500/mo","¥5,000/mo","¥7,500/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥1,800/mo","¥3,600/mo","¥5,400/mo","¥6,400/mo","¥8,000/mo","¥9,600/mo","¥11,200/mo","¥12,800/mo","¥14,400/mo","¥16,000/mo"
shanghai--31,696 Weihai Road Jing'an District Shanghai 200041,"¥4,700/mo","¥9,100/mo","¥13,800/mo",Unavailable,"¥23,200/mo","¥23,200/mo","¥23,200/mo","¥28,800/mo","¥28,800/mo","¥35,200/mo","¥3,750/mo","¥7,500/mo","¥11,250/mo","¥10,000/mo","¥12,500/mo","¥15,000/mo","¥17,500/mo","¥20,000/mo","¥22,500/mo","¥25,000/mo","¥2,900/mo","¥5,800/mo","¥8,700/mo","¥7,200/mo","¥9,000/mo","¥10,800/mo","¥12,600/mo","¥14,400/mo","¥16,200/mo","¥18,000/mo"
